rank,prev_rank,name,league,off,def,city,zip
1,1,Manchester City,Barclays Premier League,2.79,0.28,Torpside,23616-1530
2,2,Bayern Munich,German Bundesliga,3.04,0.68,Novi,45620-8492
3,3,Barcelona,Spanish Primera Division,2.45,0.43,Romagueraberg,18701-3032
4,4,Real Madrid,Spanish Primera Division,2.56,0.6,Port Hudson,57929-6258
5,5,Liverpool,Barclays Premier League,2.63,0.67,Elmhurst,21820-0455
6,6,Arsenal,Barclays Premier League,2.53,0.61,Port Emely,49194
7,7,Newcastle,Barclays Premier League,2.38,0.53,Bergecester,81949
8,8,Napoli,Italy Serie A,2.3,0.51,East Halleton,15613
9,9,Borussia Dortmund,German Bundesliga,2.83,0.84,Lake Mariliefort,40639-8793
10,10,Brighton and Hove Albion,Barclays Premier League,2.47,0.73,West Darryl,26935
11,11,RB Leipzig,German Bundesliga,2.39,0.7,Port Kenton,37391-3427
12,12,Benfica,Portuguese Liga,2.4,0.73,Kuvalisstad,20879
13,13,Aston Villa,Barclays Premier League,2.01,0.51,New Gideon,18502-6897
14,14,Atletico Madrid,Spanish Primera Division,2.26,0.67,West Marie,70650-4982
15,15,Paris Saint-Germain,French Ligue 1,2.62,0.91,Lake Germanburgh,91800
16,16,Manchester United,Barclays Premier League,2.35,0.74,North Mariah,11800-1617
17,17,Internazionale,Italy Serie A,2.33,0.76,New Justice,39548
18,18,Ajax,Dutch Eredivisie,2.66,1.03,Fort Kimberg,30398
19,19,Lille,French Ligue 1,2.07,0.64,Caseystead,58850-8659
20,20,Brentford,Barclays Premier League,2.1,0.67,Lake Otisfurt,48243-7509
21,21,Real Sociedad,Spanish Primera Division,1.87,0.52,Lake Ridge,36913
22,22,Sporting CP,Portuguese Liga,2.07,0.66,Donniemouth,33758-4627
23,23,FC Porto,Portuguese Liga,2.16,0.72,Estebanview,82660
24,24,Chelsea,Barclays Premier League,2.04,0.68,Bismarck,02285-2815
25,25,Feyenoord,Dutch Eredivisie,2.28,0.87,East Conormouth,99669-9947
26,26,Lyon,French Ligue 1,2.28,0.88,Lake Claudiastead,68897
